graph_type,graph_size,avg_degree,distribution,tau,run,seed,algorithm,execution_time_ms,peak_memory_bytes,nodes_explored,edges_examined,edges_relaxed,max_pq_size,path_cost,path_probability,path_length,path_found,optimality_gap_pct
erdos_renyi,1000,2,uniform,0,1,2072335864,baseline,1.0338,83744,758,1468,1468,166,15.717167,1.493e-07,11,1,0.0
erdos_renyi,1000,2,uniform,0.001,1,2072335864,pruned,0.1471,4680,65,113,64,18,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,1,2072335864,pruned,0.0217,1536,16,23,15,4,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,1,2072335864,pruned,0.0113,1104,9,12,8,4,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,1,2072335864,pruned,0.0087,1072,7,7,6,3,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,1,2072335864,pruned,0.0057,624,4,7,3,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,2,364748943,baseline,0.7322,43216,517,1034,1034,169,8.803448,0.0001502143,10,1,0.0
erdos_renyi,1000,2,uniform,0.001,2,364748943,pruned,0.3593,21360,271,545,314,88,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,2,364748943,pruned,0.1028,5272,84,159,86,29,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,2,364748943,pruned,0.0246,1400,20,42,19,9,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,2,364748943,pruned,0.0156,1384,12,31,11,6,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,2,364748943,pruned,0.0115,400,1,4,0,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,3,3240482915,baseline,0.5213,41960,355,711,711,192,7.758489,0.0004271015,8,1,0.0
erdos_renyi,1000,2,uniform,0.001,3,3240482915,pruned,0.2666,21296,236,485,264,78,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,3,3240482915,pruned,0.0617,4272,54,123,54,19,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,3,3240482915,pruned,0.0192,1344,16,38,15,10,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,3,3240482915,pruned,0.0119,776,9,23,8,4,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,3,3240482915,pruned,0.0033,360,2,5,1,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,4,456687785,baseline,0.7172,42280,221,461,461,156,7.033627,0.0008817281,11,1,0.0
erdos_renyi,1000,2,uniform,0.001,4,456687785,pruned,0.5506,21304,213,453,244,80,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,4,456687785,pruned,0.1174,4240,49,114,51,16,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,4,456687785,pruned,0.0403,1344,17,32,18,6,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,4,456687785,pruned,0.0281,1344,12,21,13,6,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,4,456687785,pruned,0.0054,360,1,4,0,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,5,4036756973,baseline,0.0243,392,3,3,3,2,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0.001,5,4036756973,pruned,0.013,392,3,3,3,2,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0.01,5,4036756973,pruned,0.01,392,3,3,3,2,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0.05,5,4036756973,pruned,0.0082,392,3,3,3,2,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0.1,5,4036756973,pruned,0.0067,360,3,3,2,1,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0.5,5,4036756973,pruned,0.007,360,3,3,2,1,0.080117,0.9230086525,3,1,0.0
erdos_renyi,1000,2,uniform,0,6,2335472317,baseline,0.4304,41960,292,583,583,170,7.292781,0.0006804331,14,1,0.0
erdos_renyi,1000,2,uniform,0.001,6,2335472317,pruned,0.2933,21152,238,488,272,73,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,6,2335472317,pruned,0.0735,4416,66,121,71,20,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,6,2335472317,pruned,0.028,2216,25,48,24,10,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,6,2335472317,pruned,0.015,1192,13,30,12,4,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,6,2335472317,pruned,0.0063,360,5,10,4,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,7,1258046934,baseline,0.5898,41960,390,818,818,196,7.184236,0.0007584479,10,1,0.0
erdos_renyi,1000,2,uniform,0.001,7,1258046934,pruned,0.4051,22112,339,713,415,102,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,7,1258046934,pruned,0.1,8296,86,179,91,34,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,7,1258046934,pruned,0.0312,2152,25,58,24,10,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,7,1258046934,pruned,0.043,656,9,26,8,5,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,7,1258046934,pruned,0.0189,360,2,7,1,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,8,815125888,baseline,0.875,83496,613,1244,1244,205,8.538952,0.0001956953,11,1,0.0
erdos_renyi,1000,2,uniform,0.001,8,815125888,pruned,0.4634,42272,369,763,456,134,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,8,815125888,pruned,0.0875,4840,79,185,78,32,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,8,815125888,pruned,0.02,1224,16,40,15,7,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,8,815125888,pruned,0.0135,1000,11,27,10,6,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,8,815125888,pruned,0.0042,360,3,8,2,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,9,791409859,baseline,0.9688,83384,720,1443,1443,189,11.749374,7.8943e-06,16,1,0.0
erdos_renyi,1000,2,uniform,0.001,9,791409859,pruned,0.2355,21056,209,439,230,66,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,9,791409859,pruned,0.0584,4152,53,101,54,18,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,9,791409859,pruned,0.0217,1224,19,36,18,10,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,9,791409859,pruned,0.0155,1224,13,27,12,5,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,9,791409859,pruned,0.0039,360,2,8,1,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0,10,2971836404,baseline,0.9355,83088,678,1329,1329,164,13.12178,2.0012e-06,18,1,0.0
erdos_renyi,1000,2,uniform,0.001,10,2971836404,pruned,0.1147,10496,101,189,103,28,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.01,10,2971836404,pruned,0.0283,2152,24,41,23,9,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.05,10,2971836404,pruned,0.0083,568,6,12,5,2,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.1,10,2971836404,pruned,0.0053,360,4,8,3,2,inf,0.0,0,0,100.0
erdos_renyi,1000,2,uniform,0.5,10,2971836404,pruned,0.0031,360,2,2,1,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,power_law,0,1,2536762829,baseline,0.0362,720,4,8,8,6,0.962926,0.3817741641,4,1,0.0
erdos_renyi,1000,2,power_law,0.001,1,2536762829,pruned,0.0227,720,4,8,8,6,0.962926,0.3817741641,4,1,0.0
erdos_renyi,1000,2,power_law,0.01,1,2536762829,pruned,0.0182,720,4,8,8,6,0.962926,0.3817741641,4,1,0.0
erdos_renyi,1000,2,power_law,0.05,1,2536762829,pruned,0.0159,600,4,8,5,3,0.962926,0.3817741641,4,1,0.0
erdos_renyi,1000,2,power_law,0.1,1,2536762829,pruned,0.0161,600,4,8,5,3,0.962926,0.3817741641,4,1,0.0
erdos_renyi,1000,2,power_law,0.5,1,2536762829,pruned,0.0114,360,3,8,2,1,inf,0.0,0,0,100.0
erdos_renyi,1000,2,power_law,0,2,411279104,baseline,0.0151,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0.001,2,411279104,pruned,0.0065,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0.01,2,411279104,pruned,0.0035,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0.05,2,411279104,pruned,0.0028,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0.1,2,411279104,pruned,0.0026,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0.5,2,411279104,pruned,0.0033,360,2,1,1,1,0.0,1.0,2,1,0.0
erdos_renyi,1000,2,power_law,0,3,857655365,baseline,2.0923,83632,735,1427,1427,178,15.853118,1.303e-07,22,1,0.0
erdos_renyi,1000,2,power_law,0.001,3,857655365,pruned,0.1081,4384,65,100,66,14,inf,0.0,0,0,100.0
erdos_renyi,1000,2,power_law,0.01,3,857655365,pruned,0.0256,2152,24,36,23,5,inf,0.0,0,0,100.0
