dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,transaction,view,0.0001,fixed,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,3,0.029,True,0.58,0.0
RetailRocket-event,3,9,transaction,view,0.001,fixed,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,3,0.011,True,1.58,0.0
RetailRocket-event,3,9,transaction,view,0.01,fixed,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,3,0.005,True,3.15,0.0
RetailRocket-event,3,9,transaction,view,0.1,fixed,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,2,0.005,True,3.34,0.0
RetailRocket-event,3,9,transaction,view,0.5,fixed,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.004,True,4.18,0.0
RetailRocket-event,3,9,transaction,view,0.067844370453,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,2,0.005,True,3.15,0.0
RetailRocket-event,3,9,transaction,view,0.203533111358,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,2,0.004,True,4.77,0.0
RetailRocket-event,3,9,transaction,view,0.339221852263,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.003,True,4.77,0.0
RetailRocket-event,3,9,transaction,view,0.474910593168,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.003,True,5.06,0.0
RetailRocket-event,3,9,transaction,view,0.610599334073,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.005,True,3.63,0.0
RetailRocket-event,3,9,transaction,view,0.6445215193,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.003,True,5.76,0.0
RetailRocket-event,3,9,transaction,view,0.671659267481,adaptive,0.387954,0.6784437045,2,3,3,0.017,0.387954,0.6784437045,2,3,1,0.003,True,5.22,0.0
RetailRocket-event,3,9,transaction,view,0.678443704526,adaptive,0.387954,0.6784437045,2,3,3,0.017,,,1,3,0,0.003,False,6.19,
RetailRocket-event,3,9,transaction,view,0.746288074978,adaptive,0.387954,0.6784437045,2,3,3,0.017,,,1,3,0,0.003,False,6.19,
RetailRocket-event,3,9,view,transaction,0.0001,fixed,4.689428,0.0091919426,3,6,6,0.008,4.689428,0.0091919426,3,6,6,0.006,True,1.22,0.0
RetailRocket-event,3,9,view,transaction,0.001,fixed,4.689428,0.0091919426,3,6,6,0.008,4.689428,0.0091919426,3,6,6,0.006,True,1.33,0.0
RetailRocket-event,3,9,view,transaction,0.01,fixed,4.689428,0.0091919426,3,6,6,0.008,,,2,6,3,0.004,False,1.75,
RetailRocket-event,3,9,view,transaction,0.1,fixed,4.689428,0.0091919426,3,6,6,0.008,,,1,3,1,0.003,False,2.85,
RetailRocket-event,3,9,view,transaction,0.5,fixed,4.689428,0.0091919426,3,6,6,0.008,,,1,3,1,0.002,False,3.35,
RetailRocket-event,3,9,view,transaction,0.000919194265,adaptive,4.689428,0.0091919426,3,6,6,0.008,4.689428,0.0091919426,3,6,6,0.006,True,1.24,0.0
RetailRocket-event,3,9,view,transaction,0.002757582795,adaptive,4.689428,0.0091919426,3,6,6,0.008,4.689428,0.0091919426,3,6,6,0.005,True,1.51,0.0
RetailRocket-event,3,9,view,transaction,0.004595971325,adaptive,4.689428,0.0091919426,3,6,6,0.008,4.689428,0.0091919426,3,6,5,0.005,True,1.67,0.0
